Filename,Question,Answer
scraped_data_00001.md,When will the AY2024 grades be released?,"
              Based on the provided context, the grades for AY2024 Spring Semester will be released on September 5th, 2024 at 6:30 a.m."
scraped_data_00002.md,How will the Saionji Memorial scholarship recipients be notified?,"
              Based on the provided context, it is not possible to answer the question about the Saionji Memorial scholarship recipients' notification as there is no mention of the Saionji Memorial scholarship in the given context. The context only discusses the general procedures for scholarships, grade confirmation, and other general information for international students at Ritsumeikan University. If you are looking for information about a specific scholarship, I recommend contacting the International Center Scholarship Desk at rscholar@st.ritsumei.ac.jp or the relevant department for more information."
scraped_data_00003.md,How many credits in total are needed to graduate?,"
              Based on the given context, the total number of credits required to graduate is 124 credits. This includes credits in Foreign Language Subjects, Liberal Arts Subjects, Major Foundation Subjects, Major Common Subjects, Major Specific Subjects, and Global Career Development Subjects."
scraped_data_00004.md,When will the RAINBOW ID be notified for new students?,"
              According to the context, the RAINBOW ID will be notified to all regular students via Ritsu-mate on March 31st in the morning."
scraped_data_00005.md,Give me the list of instructors for Graduation Research 2.,"
              Based on the provided context, the list of instructors for Graduation Research 2 is:

Spring Semester:

* GA: KRYSSANOV VICTOR
* GB: COOPER ERIC WALLACE
* GC: GONCHARENKO IGOR
* GD: SVININ MIKHAIL
* GF: CHANDLER DAMON M.

Please note that the context only provides information for Spring Semester, if you need information for Fall Semester or other semesters, please let me know."
scraped_data_00006.md,What are the mandatory subjects for the ISSE course?,"
              Based on the context provided, the mandatory subjects for the ISSE course are:

1. English 109 and English 110 (1 credit each)
2. Professional Communication (PC) 301, 303 (2 credits each)
3. Academic Literacy (AL) 302, 304 (2 credits each)

These subjects are compulsory for students in the ISSE course and must be completed within the first three semesters."
scraped_data_00007.md,What is the maximum number of credits I can take in one semester?,"
              Based on the context provided, the maximum number of credits you can take in one semester is 24 credits. This is mentioned in the context as ""Number of credits registerable Maximum total of 20 credits including those already earned in subjects offered by other Colleges. Inclusion in credit registration limits Included when calculating maximum credits that can be registered per semester. Credit category Credit granted as free electives; not counted toward credit requirements for graduation Eligibility Students in third year and above""."
scraped_data_00008.md,What are the types of course registrations and registration periods?,"
              Based on the provided context, there are two types of course registrations mentioned: 

1. Mandatory Subjects: These are subjects that all students must take and pass to earn credits. They will be automatically registered.
2. Designated Registration Subjects: These are subjects that all students must take, but they will not be automatically registered. Students must register for them by themselves.

The registration periods mentioned are:

1. Lottery-based course registration period
2. Course cancellation period

Additionally, the context mentions that the course registration period refers to the period from the first day of the lottery-based course registration period until the last day of the course cancellation period."
scraped_data_00009.md,When will I get my ES Training allowance?,"
              Based on the provided context, it seems that the ES training allowance will be added to salaries to be paid in July and/or after. Therefore, the answer to the question is: You will receive your ES training allowance in July and/or after."
scraped_data_00010.md,What is the educational objective of College of Information Science and Engineering?,"
              According to the provided context, the educational objective of College of Information Science and Engineering is for students to use their curricular and extra-curricular activities over the course of four years to acquire the six professional capabilities and five communicative capabilities stated in the Diploma Policy."
scraped_data_00011.md,Do I have to sign up for Office Registered subjects?,"
              Based on the context provided, it is mentioned that ""Individual course registration for the following subjects is not needed as they will be registered by the administrative office."" Therefore, you do not have to sign up for Office Registered subjects. They will be automatically registered by the administrative office."
scraped_data_00012.md,Where are the Common Seminar Rooms?,"
              Based on the provided context, I can answer your question. According to the text, the seminar houses are located at BKC and OIC. For BKC, the graduate study rooms are on the 3rd floor of ACROSSWING for students of the Graduate School of Economics and on the 4th floor of the Integration Core for students of the Graduate School of Sport and Health Science. For OIC, the graduate study rooms are not available. If you have any further questions or concerns, please feel free to ask."
scraped_data_00013.md,Are there any Study Abroad Programs?,"
              Yes, Ritsumeikan University has study abroad programs offered by the International Center for all undergraduate students as well as programs uniquely offered by RU colleges and other RU academic institutions. You can check the details on study abroad programs offered by the International Center for all undergraduate students on the Study Abroad Program website. Additionally, there are programs available in IT nations such as India, China, and Vietnam, which are major trading partners with Japanese companies."
scraped_data_00014.md,What are the requirements for registering for Graduation Research?,"
              Based on the provided context, the requirements for registering for Graduation Research 2 and Graduation Research 3 are as follows:

1.  To be eligible to take Graduation Research 2 and Graduation Research 3 in their fourth year, students must satisfy the following conditions:
    *  Foreign Language Subjects
    *  Major Subjects
    *  Overall number of credits earned (counting toward graduation requirements)
    *  Number of Credits
    *  Subject Name
    *  Number of Credits
    *  6 credits Programming Practice 1
    *  4 credits Programming Practice 2
    *  96 credits Graduation Research 1
    *  2 credits
2.  You must have completed Graduation Research 2 in order to take Graduation Research 3.

Please note that students who had changes in their student registry status or who have repeated a student year during their enrollment year may be eligible for research lab allocations in spring semester of their second year. Details will be announced to applicable students."
scraped_data_00015.md,What documents are needed to become an ES?,"
             I understand that you're asking about the documents required to become an ES (Engineer/Software) in the context of the provided information. 

Based on the information provided, it seems that the College of Information Science and Engineering has a program for overseas training and international career preparation. However, I couldn't find any specific information on the documents required to become an ES.

Could you please provide more context or clarify what you mean by ""ES""? Are you referring to a specific type of engineer or software developer? Additionally, are you asking about the requirements for a particular country or region? The more information you provide, the better I can assist you."
scraped_data_00016.md,What identification documents can I use for making My Number card?,"
              Based on the provided context, you can use the following identification documents for making My Number card:

1. Individual Number (My Number) Card (front side with photo)
2. Student ID containing a photograph of your face
3. Driver’s License (front side, and back side is also required if there has been a change of address)
4. Residence Card (front side, and back side is also required if there has been a change of address)

Please note that you can only use one type of identification document if it contains a photograph of your face. If you do not have identification documents that contain a photograph of your face, you will need to submit two types of documents."
